ranking,score,title,number_of_episodes,emission_date,number_members,url
119,8.52,Gintama.: Porori-hen,TV (13 eps),Oct 2017 - Dec 2017,"188,736 members",https://myanimelist.net/anime/35843/Gintama__Porori-hen
120,8.52,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV (26 eps),Jan 2004 - Jan 2005,"219,256 members",https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
121,8.52,Summertime Render,TV (25 eps),Apr 2022 - Sep 2022,"412,649 members",https://myanimelist.net/anime/47194/Summertime_Render
122,8.51,Road of Naruto,ONA (1 eps),Oct 2022 - Oct 2022,"23,943 members",https://myanimelist.net/anime/53236/Road_of_Naruto
123,8.51,Samurai Champloo,TV (26 eps),May 2004 - Mar 2005,"1,174,301 members",https://myanimelist.net/anime/205/Samurai_Champloo
124,8.51,Hotaru no Haka,Movie (1 eps),Apr 1988 - Apr 1988,"628,530 members",https://myanimelist.net/anime/578/Hotaru_no_Haka
125,8.51,Kimetsu no Yaiba,TV (26 eps),Apr 2019 - Sep 2019,"2,750,459 members",https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
126,8.50,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie (1 eps),Jan 2019 - Jan 2019,"358,413 members",https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly
127,8.50,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV (39 eps),Apr 2016 - Dec 2016,"1,038,655 members",https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
128,8.50,Uchuu Kyoudai,TV (99 eps),Apr 2012 - Mar 2014,"185,325 members",https://myanimelist.net/anime/12431/Uchuu_Kyoudai
129,8.50,One Punch Man,TV (12 eps),Oct 2015 - Dec 2015,"3,019,798 members",https://myanimelist.net/anime/30276/One_Punch_Man
130,8.50,Shingeki no Kyojin Season 2,TV (12 eps),Apr 2017 - Jun 2017,"2,530,370 members",https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
131,8.49,Mob Psycho 100,TV (12 eps),Jul 2016 - Sep 2016,"1,927,975 members",https://myanimelist.net/anime/32182/Mob_Psycho_100
132,8.49,Ansatsu Kyoushitsu 2nd Season,TV (25 eps),Jan 2016 - Jul 2016,"1,342,660 members",https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
133,8.49,Banana Fish,TV (24 eps),Jul 2018 - Dec 2018,"797,065 members",https://myanimelist.net/anime/36649/Banana_Fish
134,8.48,Aria the Origination,TV (13 eps),Jan 2008 - Apr 2008,"122,462 members",https://myanimelist.net/anime/3297/Aria_the_Origination
135,8.48,Bungou Stray Dogs 4th Season,TV (13 eps),Jan 2023 - Mar 2023,"207,348 members",https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season
136,8.48,Jujutsu Kaisen 0 Movie,Movie (1 eps),Dec 2021 - Dec 2021,"672,838 members",https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie
137,8.48,Rainbow: Nisha Rokubou no Shichinin,TV (26 eps),Apr 2010 - Sep 2010,"377,610 members",https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
138,8.48,Yuru Camp△ Movie,Movie (1 eps),Jul 2022 - Jul 2022,"63,198 members",https://myanimelist.net/anime/38475/Yuru_Camp△_Movie
139,8.47,Chihayafuru 3,TV (24 eps),Oct 2019 - Mar 2020,"130,595 members",https://myanimelist.net/anime/37379/Chihayafuru_3
140,8.47,Gintama: The Semi-Final,Special (2 eps),Jan 2021 - Jan 2021,"67,420 members",https://myanimelist.net/anime/44087/Gintama__The_Semi-Final
141,8.47,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie (1 eps),Oct 2013 - Oct 2013,"357,901 members",https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari
142,8.47,The First Slam Dunk,Movie (1 eps),Dec 2022 - Dec 2022,"16,740 members",https://myanimelist.net/anime/45649/The_First_Slam_Dunk
143,8.46,Nichijou,TV (26 eps),Apr 2011 - Sep 2011,"843,119 members",https://myanimelist.net/anime/10165/Nichijou
144,8.46,Yuu☆Yuu☆Hakusho,TV (112 eps),Oct 1992 - Jan 1995,"646,773 members",https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
145,8.46,Fruits Basket: Prelude,Movie (1 eps),Feb 2022 - Feb 2022,"87,206 members",https://myanimelist.net/anime/49310/Fruits_Basket__Prelude
146,8.45,Golden Kamuy 3rd Season,TV (12 eps),Oct 2020 - Dec 2020,"150,093 members",https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season
147,8.45,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie (1 eps),Aug 2019 - Aug 2019,"711,296 members",https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu
148,8.45,Owarimonogatari,TV (12 eps),Oct 2015 - Dec 2015,"457,760 members",https://myanimelist.net/anime/31181/Owarimonogatari
149,8.45,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV (12 eps),Jan 2021 - Mar 2021,"800,366 members",https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2
150,8.45,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie (1 eps),Apr 2013 - Apr 2013,"565,940 members",https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu
151,8.45,Zoku Owarimonogatari,Movie (6 eps),Nov 2018 - Nov 2018,"212,164 members",https://myanimelist.net/anime/36999/Zoku_Owarimonogatari
152,8.44,Haikyuu!!,TV (25 eps),Apr 2014 - Sep 2014,"1,846,214 members",https://myanimelist.net/anime/20583/Haikyuu
153,8.44,Jigokuraku,TV (13 eps),Apr 2023 -,"261,123 members",https://myanimelist.net/anime/46569/Jigokuraku
154,8.44,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV (24 eps),Jan 2015 - Jun 2015,"1,032,436 members",https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season
155,8.44,Karakai Jouzu no Takagi-san 3,TV (12 eps),Jan 2022 - Mar 2022,"166,638 members",https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3
156,8.44,Mo Dao Zu Shi,ONA (15 eps),Jul 2018 - Oct 2018,"214,115 members",https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi
157,8.44,Mushishi Zoku Shou: Odoro no Michi,Special (1 eps),Aug 2014 - Aug 2014,"95,855 members",https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi
