ranking,score,title,number_of_episodes,emission_date,number_members,url,studio,themes,genres,demographics
94,8.57,Yojouhan Shinwa Taikei,TV (11 eps),Apr 2010 - Jul 2010,"423,181 members",https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei,Madhouse,"Psychological, Time Travel","Award Winning, Comedy, Mystery, Romance",
95,8.56,Ousama Ranking,TV (23 eps),Oct 2021 - Mar 2022,"552,338 members",https://myanimelist.net/anime/40834/Ousama_Ranking,Wit Studio,,"Adventure, Fantasy",
96,8.56,Fruits Basket 2nd Season,TV (25 eps),Apr 2020 - Sep 2020,"458,641 members",https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season,TMS Entertainment,School,"Drama, Romance, Supernatural",Shoujo
97,8.56,Kenpuu Denki Berserk,TV (25 eps),Oct 1997 - Apr 1998,"596,411 members",https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,OLM,"Gore, Military, Mythology","Action, Adventure, Drama, Fantasy, Horror",Seinen
98,8.56,Kimi no Suizou wo Tabetai,Movie (1 eps),Sep 2018 - Sep 2018,"875,046 members",https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,Studio VOLN,School,"Drama, Romance",
99,8.55,Fate/Zero 2nd Season,TV (12 eps),Apr 2012 - Jun 2012,"1,063,373 members",https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,ufotable,,"Action, Fantasy, Supernatural",
100,8.55,Karakai Jouzu no Takagi-san Movie,Movie (1 eps),Jun 2022 - Jun 2022,"53,466 members",https://myanimelist.net/anime/49722/Karakai_Jouzu_no_Takagi-san_Movie,Shin-Ei Animation,"Iyashikei, Romantic Subtext, School",,Shounen
101,8.55,Zoku Natsume Yuujinchou,TV (13 eps),Jan 2009 - Mar 2009,"237,498 members",https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou,Brain's Base,"Iyashikei, Mythology","Drama, Slice of Life, Supernatural",Shoujo
102,8.55,Neon Genesis Evangelion: The End of Evangelion,Movie (1 eps),Jul 1997 - Jul 1997,"863,827 members",https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion,Gainax,"Mecha, Psychological","Avant Garde, Drama, Sci-Fi",
103,8.54,Mushishi: Hihamukage,Special (1 eps),Jan 2014 - Jan 2014,"132,000 members",https://myanimelist.net/anime/21329/Mushishi__Hihamukage,Artland,"Historical, Iyashikei","Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Seinen
104,8.54,Nana,TV (47 eps),Apr 2006 - Mar 2007,"608,035 members",https://myanimelist.net/anime/877/Nana,Madhouse,"Adult Cast, Love Polygon, Music","Drama, Romance",Shoujo
105,8.54,Perfect Blue,Movie (1 eps),Feb 1998 - Feb 1998,"636,982 members",https://myanimelist.net/anime/437/Perfect_Blue,Madhouse,"Adult Cast, Psychological, Showbiz","Avant Garde, Drama, Horror",
106,8.54,Slam Dunk,TV (101 eps),Oct 1993 - Mar 1996,"278,436 members",https://myanimelist.net/anime/170/Slam_Dunk,Toei Animation,"School, Team Sports",Sports,Shounen
107,8.54,Bakuman. 3rd Season,TV (25 eps),Oct 2012 - Mar 2013,"318,637 members",https://myanimelist.net/anime/12365/Bakuman_3rd_Season,J.C.Staff,Otaku Culture,"Comedy, Drama, Romance",Shounen
108,8.54,Haikyuu!! To the Top Part 2,TV (12 eps),Oct 2020 - Dec 2020,"740,389 members",https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2,Production I.G,"School, Team Sports",Sports,Shounen
109,8.53,Kara no Kyoukai Movie 5: Mujun Rasen,Movie (1 eps),Aug 2008 - Aug 2008,"228,780 members",https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen,ufotable,,"Action, Drama, Mystery, Romance, Supernatural, Suspense",
110,8.53,Shingeki no Kyojin,TV (25 eps),Apr 2013 - Sep 2013,"3,690,593 members",https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,Wit Studio,"Gore, Military, Survival","Action, Award Winning, Drama, Suspense",Shounen
